0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:01:06 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:01:06 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:01:27 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:01:28 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:01:28 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:02:17 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:02:17 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:02:17 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:02:33 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:02:33 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:02:33 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:02:52 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:02:52 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:02:52 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:03:01 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:03:01 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:03:01 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:03:16 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:03:16 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:03:17 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:03:26 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:03:26 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:03:27 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:09 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:09 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3104
